Verslóritgerðir	Verslóritgerð	nvfn-s
mótandi	mótandi	lkeþof
aldri	aldur	nkeþ
það	það	fphen
er	vera	sfg3en
.	.	pl

Lítið	lítill	lheosf
þarf	þurfa	sfg3en
til	til	af
að	að	cn
breyta	breyta	sng
skoðunum	skoðun	nvfþ
þess	það	fphee
og	og	c
lífsviðhorfum	lífsviðhorf	nhfþ
.	.	pl

Það	það	fphen
hefur	hafa	sfg3en
meira	mikill	lheovm
fé	fé	nheo
milli	milli	af
handanna	hönd	nvfeg
en	en	c
áður	áður	aa
fyrr	fyrr	aam
og	og	c
vílar	víla	sfg3en
ekki	ekki	aa
fyrir	fyrir	af
sér	sig	fpheþ
að	að	cn
steypa	steypa	sng
sér	sig	fpheþ
í	í	af
skuldir	skuld	nvfo
til	til	af
að	að	cn
heltast	helta	snm
ekki	ekki	aa
úr	úr	af
neyslukapphlaupslestinni	neyslukapphlaupslest	nveþg
.	.	pl

Í	í	af
dag	dagur	nkeo
þykir	þykja	sfg3en
forneskjulegt	forneskjulegur	lhensf
meðal	meðal	af
ungs	ungur	lheesf
fólks	fólk	nhee
að	að	cn
eiga	eiga	sng
ekki	ekki	aa
nýjustu	nýr	lhfove
tæki	tæki	nhfo
og	og	c
tól	tól	nhfo
,	,	pk
t.a.m.	t.a.m.	ks
farsíma	farsími	nkeo
,	,	pk
víðómahljómflutningstæki	víðómahljómflutningstæki	nhfo
,	,	pk
sjónvarp	sjónvarp	nheo
,	,	pk
videotæki	videotæki	nheo
,	,	pk
DVD-spilara	DVD-spilari	nkeo
og	og	c
fartölvu	fartölva	nveo
.	.	pl

Ungt	ungur	lhensf
fólk	fólk	nhen
virðist	virða	sfm3en
líta	líta	sng
á	á	af
skuldir	skuld	nvfo
sem	sem	ct
vandamál	vandamál	nheo
morgundagsins	morgundagur	nkeeg
og	og	c
tekur	taka	sfg3en
fyrir	fyrir	af
einn	einn	tfkeo
dag	dagur	nkeo
í	í	af
einu	einn	lheþsf
í	í	af
neyslugleði	neyslugleði	nveþ
sinni	sinn	feveþ
.	.	pl

Það	það	fphen
er	vera	sfg3en
einnig	einnig	aa
fljótt	fljótur	lhensf
að	að	cn
gleyma	gleyma	sng
;	;	pk
gleypir	gleypa	sfg3en
hvert	hver	foheo
tískufyrirbrigið	tískufyrirbrigði	nheog
á	á	af
fætur	fótur	nkfo
öðru	annar	foheþ
og	og	c
gleymir	gleyma	sfg3en
því	sá	faheþ
síðasta	síðari	lheþve
.	.	pl

Peningaleysi	peningaleysi	nhen
stendur	standa	sfg3en
því	það	fpheþ
ekki	ekki	aa
fyrir	fyrir	af
þrifum	þrif	nhfþ
,	,	pk
langi	langa	svg3en
það	það	fpheo
í	í	af
eitthvað	einhver	foheo
.	.	pl

Þegar	þegar	c
kemur	koma	sfg3en
að	að	af
skuldadögum	skuldadagur	nkfþ
eru	vera	sfg3fn
aðrir	annar	fokfn
látnir	láta	sþgkfn
borga	borga	sng
brúsann	brúsi	nkeog
.	.	pl

Í	í	af
harðnandi	harðnandi	lveþof
samkeppni	samkeppni	nveþ
virðast	virða	sfm3fn
auglýsendur	auglýsandi	nkfn
hafa	hafa	sng
komist	koma	sþmhen
á	á	af
nýtt	nýr	lheosf
gróðabragð	gróðabragð	nheo
og	og	c
bera	bera	sfg3fn
ófáar	ófár	lvfnsf
auglýsingar	auglýsing	nvfn
þess	það	fphee
merki	merki	nheo
.	.	pl

Í	í	af
auglýsingum	auglýsing	nvfþ
leikur	leika	sfg3en
yfirleitt	yfirleitt	aa
ungt	ungur	lhensf
og	og	c
myndarlegt	myndarlegur	lhensf
fólk	fólk	nhen
í	í	af
flottum	flottur	lhfþsf
fötum	fat	nhfþ
.	.	pl

Fólk	fólk	nhen
sem	sem	ct
hefur	hafa	sfg3en
ekki	ekki	aa
áhyggjur	áhyggja	nvfo
af	af	af
nokkrum	nokkur	fokeþ
sköpuðum	skapaður	lkeþsf
hlut	hlutur	nkeþ
,	,	pk
þá	þá	aa
allrasíst	allrasíður	aae
fjárskorti	fjárskortur	nkeþ
.	.	pl

Auglýsingar	auglýsing	nvfn
nokkurra	nokkur	fohfe
fyrirtækja	fyrirtæki	nhfe
hér	hér	aa
á	á	af
landi	land	nheþ
hafa	hafa	sfg3fn
vakið	vekja	sþghen
athygli	athygli	nveo
sökum	sökum	af
þess	það	fphee
hve	hve	aa
óprúttnar	óprúttinn	lvfnsf
þær	hún	fpvfn
þykja	þykja	sfg3fn
vera	vera	sng
og	og	c
eru	vera	sfg3fn
auglýsingar	auglýsing	nvfn
kortfyrirtæjanna	kortfyrirtæ	x
þar	þar	aa
fremstar	fremri	lvfnse
í	í	af
flokki	flokkur	nkeþ
.	.	pl

Svarta	svartur	lhenvf
kortið	kort	nheng
er	vera	sfg3en
kreditkort	kreditkort	nhen
gefið	gefa	sþghen
út	út	aa
af	af	af
VISA	VISA	n-eþ-s
og	og	c
á	eiga	sfg3en
það	það	fphen
að	að	cn
vera	vera	sng
sérsniðið	sérsniðinn	lhensf
þörfum	þörf	nvfþ
ungs	ungur	lheesf
fólks	fólk	nhee
.	.	pl

Slagorð	slagorð	nhen
þess	það	fphee
:	:	pa
«	«	pg
Á	á	af
morgun	morgunn	nkeo
kemur	koma	sfg3en
nýr	nýr	lkensf
dagur	dagur	nken
»	»	pg
er	vera	sfg3en
fullkomið	fullkominn	lhensf
dæmi	dæmi	nhen
um	um	af
þann	sá	fakeo
hugsunarhátt	hugsunarháttur	nkeo
er	er	ct
ríkir	ríkja	sfg3en
meðal	meðal	af
ungs	ungur	lheesf
fólks	fólk	nhee
í	í	af
dag	dagur	nkeo
.	.	pl

VISA	VISA	n-en-s
beinir	beina	sfg3en
með	með	af
þessu	þessi	faheþ
þeim	sá	fahfþ
skilaboðum	skilaboð	nhfþ
til	til	af
þess	það	fphee
að	að	c
það	það	fphen
sé	vera	svg3en
í	í	af
lagi	lag	nheþ
að	að	cn
steypa	steypa	sng
sér	sig	fpkeþ
í	í	af
skuldir	skuld	nvfo
vegna	vegna	af
þess	það	fphee
að	að	c
«	«	pg
á	á	af
morgun	morgunn	nkeo
kemur	koma	sfg3en
nýr	nýr	lkensf
dagur	dagur	nken
»	»	pg
.	.	pl

Hinn	hinn	faken
kortarisinn	kortarisi	nkeng
,	,	pk
Eurocard	Eurocard	n----s
,	,	pk
slær	slá	sfg3en
heldur	heldur	aam
ekki	ekki	aa
slöku	slakur	lheþsf
við	við	aa
með	með	af
Atlaskorti	Atlaskort	nheþ-s
sínu	sinn	feheþ
með	með	af
slagorðið	slagorð	nheog
:	:	pa
«	«	pg
Farðu	fara	sbg2en
alla	allur	foveo
leið	leið	nveo
»	»	pg
.	.	pl

Maður	maður	nken
fær	fá	sfg3en
það	það	fpheo
hálfpartinn	hálfpartur	nkeog
á	á	af
tilfinninguna	tilfinning	nveog
að	að	c
skilaboðin	skilaboð	nhfng
séu	vera	svg3fn
að	að	c
ungt	ungur	lhensf
fólk	fólk	nhen
eigi	eiga	svg3en
að	að	cn
nýta	nýta	sng
úttektarheimildina	úttektarheimild	nveog
til	til	af
fulls	fullur	lheesf
og	og	c
«	«	pg
fara	fara	sng
alla	allur	foveo
leið	leið	nveo
»	»	pg
.	.	pl

Kortafyrirtækin	kortafyrirtæki	nhfng
gerast	gera	sfm3fn
einnig	einnig	aa
svo	svo	aa
kræf	kræfur	lhfnsf
að	að	cn
ganga	ganga	sng
í	í	af
framhaldsskóla	framhaldsskóli	nkfo
með	með	af
ýmis	ýmis	fohfo
tilboð	tilboð	nhfo
ef	ef	c
framhaldsskólanemar	framhaldsskólanemi	nkfn
gerast	gera	sfm3fn
áskrifendur	áskrifandi	nkfn
.	.	pl

Þau	það	fphfn
bjóða	bjóða	sfg3fn
ferðaávísanir	ferðaávísun	nvfo
sem	sem	ct
hvetja	hvetja	sfg3fn
ungt	ungur	lheosf
fólk	fólk	nheo
til	til	af
að	að	cn
fara	fara	sng
utan	utan	aa
og	og	c
leika	leika	sng
lausum	laus	lkeþsf
hala	hali	nkeþ
með	með	af
kortið	kort	nheog
.	.	pl

Þau	það	fphfn
fá	fá	sfg3fn
ungt	ungur	lheosf
fólk	fólk	nheo
til	til	af
að	að	cn
líta	líta	sng
ekki	ekki	aa
á	á	af
úttektarheimild	úttektarheimild	nveo
sem	sem	ct
skuld	skuld	nveo
við	við	af
kortafyrirtækin	kortafyrirtæki	nhfog
heldur	heldur	c
fundið	fundinn	lheosf
fé	fé	nheo
.	.	pl

Því	því	aa
hefur	hafa	sfg3en
opnast	opna	sþmhen
nýr	nýr	lkensf
neysluheimur	neysluheimur	nken
og	og	c
sér	sjá	sfg3en
það	það	fphen
ýmsar	ýmis	fovfo
lífsins	líf	nheeg
lystisemdir	lystisemd	nvfo
í	í	af
hyllingum	hylling	nvfþ
.	.	pl

Mörgum	margur	lkfþsf
kann	kunna	sfg3en
að	að	cn
þykja	þykja	sng
undarlegt	undarlegur	lhensf
að	að	c
kortafyrirtækin	kortafyrirtæki	nhfng
vilji	vilja	svg3fn
að	að	c
ungt	ungur	lhensf
fólk	fólk	nhen
steypi	steypa	svg3en
sér	sig	fpheþ
í	í	af
skuldir	skuld	nvfo
við	við	af
þau	það	fphfo
vegna	vegna	af
þess	það	fphee
að	að	c
það	það	fphen
getur	geta	sfg3en
trauðla	trauðla	aa
borgað	borga	sþghen
skuldir	skuld	nvfo
sínar	sinn	fevfo
.	.	pl

Það	sá	fahen
sem	sem	ct
hins	hinn	fakee
vegar	vegur	nkee
gleymist	gleyma	sfm3en
oft	oft	aa
að	að	cn
taka	taka	sng
með	með	aa
í	í	af
reikninginn	reikningur	nkeog
er	vera	sfg3en
að	að	c
til	til	af
að	að	cn
fá	fá	sng
kreditkort	kreditkort	nheo
þarf	þurfa	sfg3en
að	að	cn
vera	vera	sng
þinglýstur	þinglýstur	lkensf
fasteignareigandi	fasteignareigandi	nken
.	.	pl

Ungt	ungur	lhensf
fólk	fólk	nhen
fær	fá	sfg3en
því	því	aa
foreldra	foreldrar	nkfo
sína	sinn	fekfo
til	til	af
að	að	cn
skrifa	skrifa	sng
undir	undir	af
tryggingarvíxil	tryggingarvíxill	nkeo
og	og	c
eru	vera	sfg3fn
þá	þá	aa
kortafyrirtækin	kortafyrirtæki	nhfng
komin	koma	sþghfn
með	með	af
trausta	traustur	lkfosf
greiðendur	greiðandi	nkfo
.	.	pl

Teljast	telja	snm
verður	verða	sfg3en
að	að	c
ungt	ungur	lhensf
fólk	fólk	nhen
sé	vera	svg3en
því	því	aa
ekki	ekki	aa
nógu	nógur	lheþsf
traustur	traustur	lkensf
viðskiptavinur	viðskiptavinur	nken
,	,	pk
en	en	c
góður	góður	lkensf
þó	þó	aa
.	.	pl

Önnur	annar	foven
minnisstæð	minnisstæður	lvensf
auglýsing	auglýsing	nven
er	vera	sfg3en
bjórauglýsing	bjórauglýsing	nven
Egils	Egill	nkee-s
,	,	pk
þar	þar	aa
sem	sem	c
auglýstur	auglýsa	sþgken
var	vera	sfg3eþ
Egils-sterkur	Egils-sterkur	lkensf
.	.	pl

Þar	þar	aa
sem	sem	ct
bannað	banna	sþghen
er	vera	sfg3en
að	að	cn
auglýsa	auglýsa	sng
hvers	hver	fohee
kyns	kyn	nhee
áfengi	áfengi	nheo
á	á	af
Íslandi	Ísland	nheþ-s
gerðu	gera	sfg3fþ
yfirvöld	yfirvald	nhfn
athugasemd	athugasemd	nveo
við	við	af
auglýsinguna	auglýsing	nveog
.	.	pl

Í	í	af
henni	hún	fpveþ
var	vera	sfg3eþ
lítið	lítill	lhensf
lagt	leggja	sþghen
upp	upp	aa
úr	úr	af
bragðgæðum	bragðgæði	nhfþ
og	og	c
frískleika	frískleiki	nkeþ
heldur	heldur	c
var	vera	sfg3eþ
aðalatriðið	aðalatriði	nheng
styrkleiki	styrkleiki	nken
hans	hann	fpkee
,	,	pk
6,2%	6,2%	tp
.	.	pl

Hvað	hver	fshen
sem	sem	ct
því	það	fpheþ
líður	líða	sfg3en
báru	bera	sfg3fþ
auglýsingarnar	auglýsing	nvfng
þess	það	fphee
greinileg	greinilegur	lhfosf
merki	merki	nhfo
að	að	c
spjótunum	spjót	nhfþg
var	vera	sfg3eþ
beint	beina	sþghen
að	að	af
ungu	ungur	lheþsf
fólki	fólk	nheþ
;	;	pk
að	að	c
það	það	fphen
þyrfti	þurfa	svg3eþ
færri	fár	lkfovm
bjóra	bjór	nkfo
til	til	af
að	að	cn
verða	verða	sng
drukkið	drukkinn	lhensf
.	.	pl

Símafyrirtækin	símafyrirtæki	nhfng
hafa	hafa	sfg3fn
einnig	einnig	aa
verið	vera	sþghen
sökuð	saka	sþghfn
um	um	af
að	að	cn
ginna	ginna	sng
ungt	ungur	lheosf
fólk	fólk	nheo
með	með	af
auglýsingum	auglýsing	nvfþ
sínum	sinn	fevfþ
.	.	pl

Fyrirframgreidd	fyrirframgreiddur	lhfnsf
símkort	símkort	nhfn
eru	vera	sfg3fn
sérstaklega	sérstaklega	aa
hugsuð	hugsa	sþghfn
til	til	af
að	að	cn
koma	koma	sng
ungu	ungur	lheþsf
fólki	fólk	nheþ
á	á	af
bragðið	bragð	nheog
áður	áður	aa
en	en	c
það	það	fphen
verður	verða	sfg3en
fjárráða	fjárráða	lhenof
.	.	pl

Einnig	einnig	aa
er	vera	sfg3en
hægt	hægur	lhensf
að	að	cn
fá	fá	sng
«	«	pg
gefins	gefins	lkeoof
»	»	pg
síma	sími	nkeo
gegn	gegn	af
því	það	fpheþ
að	að	cn
gerast	gera	snm
áskrifandi	áskrifandi	nken
að	að	af
símþjónustu	símþjónusta	nveþ
í	í	af
eitt	einn	tfheo
ár	ár	nheo
.	.	pl

Mánaðarlegur	mánaðarlegur	lkensf
símreikningur	símreikningur	nken
er	vera	sfg3en
færður	færa	sþgken
inn	inn	aa
á	á	af
kreditkortareikning	kreditkortareikningur	nkeo
og	og	c
hafa	hafa	sfg3fn
margir	margur	lkfnsf
foreldrar	foreldrar	nkfn
,	,	pk
er	er	ct
gengist	ganga	sþmhen
hafa	hafa	sfg3fn
í	í	af
ábyrgð	ábyrgð	nveo
fyrir	fyrir	af
börn	barn	nhfo
sín	sinn	fehfo
,	,	pk
fengið	fá	sþghen
að	að	cn
kynnast	kynna	snm
neyslugleði	neyslugleði	nveþ
þeirra	það	fphfe
.	.	pl

Klókindi	klókindi	nhfn
símfyrirtækjanna	símfyrirtæki	nhfeg
eru	vera	sfg3fn
svo	svo	aa
mikil	mikill	lhfnsf
að	að	c
beinlínis	beinlínis	aa
allt	allur	fohen
ungt	ungur	lhensf
fólk	fólk	nhen
á	eiga	sfg3en
farsíma	farsími	nkeo
.	.	pl

Hér	hér	aa
hafa	hafa	sfg3fn
verið	vera	sþghen
tekin	taka	sþghfn
nokkur	nokkur	fohfn
dæmi	dæmi	nhfn
um	um	af
auglýsingar	auglýsing	nvfo
sem	sem	ct
beinast	beina	sfm3fn
fyrst	fyrr	aae
og	og	c
fremst	fremur	aae
að	að	af
ungu	ungur	lheþsf
fólki	fólk	nheþ
.	.	pl

Teljast	telja	snm
verður	verða	sfg3en
að	að	c
ungt	ungur	lhensf
fólk	fólk	nhen
nú	nú	aa
til	til	af
dag	dagur	x
sé	vera	svg3en
nokkuð	nokkur	fohen
auðveld	auðveldur	lvensf
bráð	bráð	nven
auglýsenda	auglýsandi	nkfe
miðað	miða	sþghen
við	við	af
árangur	árangur	nkeo
þeirra	hann	fpkfe
.	.	pl

Spurn	spurn	nven
ungs	ungur	lheesf
fólks	fólk	nhee
eftir	eftir	af
gæðum	gæði	nhfþ
hefur	hafa	sfg3en
aukist	auka	sþmhen
jafnt	jafnt	aa
og	og	c
þétt	þétt	aa
síðustu	síðari	lhfove
árin	ár	nhfog
og	og	c
í	í	af
tímanna	tími	nkfeg
rás	rás	nveþ
hefur	hafa	sfg3en
neyslumunstrið	neyslumunstur	nheng
tekið	taka	sþghen
stakkaskiptum	stakkaskipti	nhfþ
.	.	pl

Það	það	fphen
gerir	gera	sfg3en
miklar	mikill	lvfosf
kröfur	krafa	nvfo
um	um	af
hvers	hver	fohee
kyns	kyn	nhee
gæði	gæði	nhfo
og	og	c
hafa	hafa	sfg3fn
auglýsendur	auglýsandi	nkfn
bersýnilega	bersýnilega	aa
fært	færa	sþghen
sér	sig	fpkfþ
það	það	fpheo
í	í	af
nyt	nyt	nveo
.	.	pl

Verslóritgerðir	Verslóritgerð	nvfn-s
2003	2003	ta
,	,	pk
stelpur	stelpa	nvfn

Lífsgleði	lífsgleði	nvee
njóttu	njóta	sbg2en

Lífsgleði	lífsgleði	nven
skiptir	skipta	sfg3en
miklu	mikill	lheþsf
máli	mál	nheþ
þegar	þegar	c
fólk	fólk	nhen
vill	vilja	sfg3en
vera	vera	sng
hamingjusamt	hamingjusamur	lhensf
.	.	pl

Það	það	fphen
getur	geta	sfg3en
ekki	ekki	aa
verið	vera	sþghen
skemmtilegt	skemmtilegur	lhensf
að	að	cn
lifa	lifa	sng
lífinu	líf	nheþg
þegar	þegar	c
maður	maður	nken
er	vera	sfg3en
sífellt	sífellt	aa
óánægður	óánægður	lkensf
og	og	c
fúll	fúll	lkensf
og	og	c
maður	maður	nken
fær	fá	sfg3en
miklu	mikill	lheþsf
meira	mikill	lheovm
út	út	aa
úr	úr	af
lífinu	líf	nheþg
þegar	þegar	c
maður	maður	nken
er	vera	sfg3en
glaður	glaður	lkensf
og	og	c
hamingjusamur	hamingjusamur	lkensf
.	.	pl

Hver	hver	foken
einstaklingur	einstaklingur	nken
skapar	skapa	sfg3en
örlög	örlög	nhfo
sín	sinn	fehfo
og	og	c
lífsviðhorf	lífsviðhorf	nhen
manna	maður	nkfe
skiptir	skipta	sfg3en
miklu	mikill	lheþsf
máli	mál	nheþ
þegar	þegar	c
takast	taka	snm
þarf	þurfa	sfg3en
á	á	aa
við	við	af
hlutina	hlutur	nkfog
.	.	pl

En	en	c
í	í	af
hverju	hver	fsheþ
er	vera	sfg3en
lífsgleði	lífsgleði	nven
fólgin	fela	sþgven
og	og	c
geta	geta	sfg3fn
í	í	af
raun	raun	nveþ
allir	allur	fokfn
notið	njóta	sþghen
hennar	hún	fpvee
?	?	pl

Í	í	af
dag	dagur	nkeo
ríkir	ríkja	sfg3en
mikil	mikill	lvensf
ólga	ólga	nven
í	í	af
heiminum	heimur	nkeþg
og	og	c
stríðið	stríð	nheng
í	í	af
Írak	Írak	nheþ-s
hefur	hafa	sfg3en
verið	vera	sþghen
mjög	mjög	aa
áberandi	áberandi	lhenof
.	.	pl

Margir	margur	lkfnsf
hafa	hafa	sfg3fn
misst	missa	sþghen
fjölskyldur	fjölskylda	nvfo
sínar	sinn	fevfo
og	og	c
heimili	heimili	nhfo
í	í	af
stríðinu	stríð	nheþg
en	en	c
þrátt	þrátt	aa
fyrir	fyrir	af
það	það	fpheo
mátti	mega	sfg3eþ
sjá	sjá	sng
gleði	gleði	nveo
í	í	af
andliti	andlit	nheþ
fólks	fólk	nhee
þegar	þegar	c
Bandaríkjamenn	Bandaríkjamaður	nkfn-s
náðu	ná	sfg3fþ
að	að	cn
koma	koma	sng
Saddam	Saddam	n----s
Hussein	Hussein	n----s
frá	frá	af
völdum	vald	nhfþ
.	.	pl

Írakska	írakskur	lvenvf
þjóðin	þjóð	nveng
hefur	hafa	sfg3en
ennþá	ennþá	aa
eitthvað	einhver	foheo
til	til	af
að	að	cn
gleðjast	gleðja	snm
yfir	yfir	aa
þrátt	þrátt	aa
fyrir	fyrir	af
allar	allur	fovfo
hörmungarnar	hörmung	nvfog
sem	sem	ct
hafa	hafa	sfg3fn
dunið	dynja	sþghen
á	á	af
henni	hún	fpveþ
og	og	c
núna	núna	aa
getur	geta	sfg3en
fólkið	fólk	nheng
verið	vera	sþghen
ánægt	ánægður	lhensf
yfir	yfir	af
lífinu	líf	nheþg
.	.	pl

Það	það	fphen
hefur	hafa	sfg3en
í	í	af
dag	dagur	nkeo
enn	enn	aa
meiri	mikill	lkfovm
möguleika	möguleiki	nkfo
á	á	af
að	að	cn
njóta	njóta	sng
lífsgleði	lífsgleði	nvee
og	og	c
lifa	lifa	sng
lífinu	líf	nheþg
til	til	af
fulls	fullur	lheesf
.	.	pl

Allir	allur	fokfn
vilja	vilja	sfg3fn
vera	vera	sng
hamingjusamir	hamingjusamur	lkfnsf
og	og	c
raun	raun	nveþ
er	vera	sfg3en
það	það	fphen
undir	undir	af
einstaklingunum	einstaklingur	nkfþg
komið	koma	sþghen
hvort	hvort	c
þeir	hann	fpkfn
séu	vera	svg3fn
það	það	fphen
.	.	pl

Það	það	fphen
er	vera	sfg3en
hægt	hægur	lhensf
að	að	cn
svekkja	svekkja	sng
sig	sig	fpkeo
yfir	yfir	af
ótrúlegustu	ótrúlegur	lkfþve
hlutum	hlutur	nkfþ
og	og	c
hugsa	hugsa	sng
um	um	af
allt	allur	foheo
það	sá	faheo
sem	sem	ct
maður	maður	nken
á	eiga	sfg3en
ekki	ekki	aa
og	og	c
um	um	af
öll	allur	fohfo
mistökin	mistök	nhfog
og	og	c
erfiðleikana	erfiðleiki	nkfog
sem	sem	ct
maður	maður	nken
hefði	hafa	svg3eþ
getað	geta	sþghen
komist	koma	sþmhen
hjá	hjá	aa
en	en	c
það	það	fphen
gerir	gera	sfg3en
manni	maður	nkeþ
ekkert	enginn	foheo
gott	góður	lheosf
.	.	pl

Um	um	af
leið	leið	nveo
og	og	c
maður	maður	nken
er	vera	sfg3en
ánægður	ánægður	lkensf
með	með	af
það	sá	faheo
sem	sem	ct
maður	maður	nken
hefur	hafa	sfg3en
og	og	c
sættir	sætta	sfg3en
sig	sig	fpkeo
við	við	af
lífið	líf	nheog
þá	þá	aa
verður	verða	sfg3en
maður	maður	nken
hamingjusamur	hamingjusamur	lkensf
.	.	pl

Það	það	fphen
er	vera	sfg3en
mikilvægt	mikilvægur	lhensf
að	að	cn
gera	gera	sng
sér	sig	fpkeþ
grein	grein	nveo
fyrir	fyrir	af
því	það	fpheþ
að	að	c
grasið	gras	nheng
er	vera	sfg3en
ekki	ekki	aa
alltaf	alltaf	aa
grænna	grænn	lhenvm
hinu	hinn	faheþ
megin	megin	aa
þó	þó	aa
það	það	fphen
virðist	virða	svm3en
vera	vera	sng
það	það	fphen
.	.	pl

Það	það	fphen
er	vera	sfg3en
engin	enginn	foven
spurning	spurning	nven
að	að	c
ánægður	ánægður	lkensf
og	og	c
hamingjusamur	hamingjusamur	lkensf
maður	maður	nken
fær	fá	sfg3en
meira	mikill	lheovm
út	út	aa
úr	úr	af
lífinu	líf	nheþg
en	en	c
sá	sá	faken
sem	sem	ct
er	vera	sfg3en
óhamingjusamur	óhamingjusamur	lkensf
.	.	pl

Hann	hann	fpken
er	vera	sfg3en
líklegri	líklegur	lkenvm
til	til	af
að	að	cn
líta	líta	sng
björtum	bjartur	lhfþsf
augum	auga	nhfþ
á	á	af
framtíðina	framtíð	nveog
og	og	c
sjá	sjá	sng
það	sá	faheo
jákvæða	jákvæður	lheovf
þegar	þegar	c
allt	allur	fohen
virðist	virða	sfm3en
ómögulegt	ómögulegur	lhensf
.	.	pl

Lífsviðhorf	lífsviðhorf	nhen
fólks	fólk	nhee
skiptir	skipta	sfg3en
því	því	aa
miklu	mikill	lheþsf
máli	mál	nheþ
þegar	þegar	c
takast	taka	snm
þarf	þurfa	sfg3en
á	á	aa
við	við	af
hlutina	hlutur	nkfog
.	.	pl

Fólk	fólk	nhen
getur	geta	sfg3en
ákveðið	ákveða	sþghen
hvort	hvort	c
það	það	fphen
læri	læra	svg3en
af	af	af
mistökunum	mistök	nhfþg
eða	eða	c
hvort	hvort	c
þau	það	fphfn
brjóti	brjóta	svg3fn
það	það	fpheo
niður	niður	aa
.	.	pl

Ef	ef	c
við	ég	fp1fn
gerum	gera	sfg1fn
mistök	mistök	nhfo
þá	þá	aa
er	vera	sfg3en
það	það	fphen
allt	allur	fohen
í	í	af
lagi	lag	nheþ
því	það	fpheþ
við	ég	fp1fn
erum	vera	sfg1fn
bara	bara	aa
mannleg	mannlegur	lhfnsf
.	.	pl

Það	það	fphen
er	vera	sfg3en
mikilvægt	mikilvægur	lhensf
að	að	cn
muna	muna	sng
að	að	c
lífið	líf	nheng
heldur	halda	sfg3en
áfram	áfram	aa
þrátt	þrátt	aa
fyrir	fyrir	af
erfiðleika	erfiðleiki	nkfo
og	og	c
sorgarstundir	sorgarstund	nvfo
og	og	c
það	það	fphen
stoðar	stoða	sfg3en
lítið	lítið	aa
að	að	cn
brjóta	brjóta	sng
sjálfan	sjálfur	fbkeo
sig	sig	fpkeo
niður	niður	aa
.	.	pl

Lífsglöðu	lífsglaður	lheþsf
fólki	fólk	nheþ
gengur	ganga	sfg3en
oftast	oft	aae
vel	vel	aa
í	í	af
lífinu	líf	nheþg
,	,	pk
það	það	fphen
er	vera	sfg3en
jákvætt	jákvæður	lhensf
og	og	c
tekur	taka	sfg3en
hlutunum	hlutur	nkfþg
eins	eins	aa
og	og	c
þeir	hann	fpkfn
gerast	gera	sfm3fn
.	.	pl

Maður	maður	nken
finnur	finna	sfg3en
vel	vel	aa
að	að	c
þegar	þegar	c
maður	maður	nken
er	vera	sfg3en
léttur	léttur	lkensf
í	í	af
lund	lund	nveþ
og	og	c
gefur	gefa	sfg3en
af	af	af
sér	sig	fpkeþ
